"weight";"word";"color";"url"
361;iago;;
335;othello;;
254;cassio;;
227;desdemona;;
137;emilia;;
105;roderigo;;
92;good;;
90;lord;;
86;tis;;
80;thy;;
80;love;;
77;thee;;
67;hath;;
64;enter;;
62;heaven;;
59;moor;;
58;night;;
56;sir;;
53;man;;
52;speak;;
47;brabantio;;
44;lodovico;;
43;wife;;
42;honest;;
39;duke;;
37;exit;;
36;montano;;
35;cyprus;;
33;soul;;
33;general;;
30;lieutenant;;
30;handkerchief;;
29;time;;
29;dost;;
28;bianca;;
28;heart;;
27;gratiano;;
27;true;;
27;pray;;
26;hear;;
26;men;;
25;matter;;
25;place;;
25;hand;;
25;alas;;
24;venice;;
24;great;;
24;light;;
24;kill;;
23;exeunt;;
23;lady;;
23;sweet;;
22;fair;;
22;devil;;
22;bed;;
22;husband;;
21;noble;;
21;hold;;
21;faith;;
21;fear;;
20;gentleman;;
20;mistress;;
20;art;;
20;leave;;
20;thought;;
19;hast;;
19;father;;
19;lost;;
19;villain;;
19;poor;;
18;clown;;
18;sense;;
18;life;;
18;foul;;
18;friend;;
18;willow;;
17;gentlemen;;
17;doth;;
17;stand;;
17;murder;;
17;false;;
17;confess;;
17;woman;;
16;scene;;
16;wrong;;
16;farewell;;
16;free;;
16;bring;;
16;bear;;
16;nature;;
16;dear;;
16;ythee;;
15;daughter;;
15;dead;;
15;death;;
15;work;;
14;set;;
14;turn;;
14;heard;;
14;patience;;
