"weight";"word";"color";"url"
722;iago;;
670;othello;;
508;cassio;;
454;desdemona;;
274;emilia;;
210;roderigo;;
94;brabantio;;
88;lodovico;;
72;montano;;
70;cyprus;;
60;lieutenant;;
60;handkerchief;;
59;moor;;
56;bianca;;
54;gratiano;;
48;venice;;
32;ythee;;
22;senator;;
18;willow;;
16;duke;;
14;senators;;
14;isle;;
14;villany;;
13;signior;;
12;rhodes;;
12;turkish;;
12;fleet;;
12;suspect;;
12;musician;;
12;committed;;
11;michael;;
10;venetian;;
10;damn;;
10;citadel;;
10;castle;;
10;strumpet;;
9;exeunt;;
8;robb;;
8;subdue;;
8;despatch;;
8;trash;;
8;clink;;
8;saved;;
7;clown;;
7;judgement;;
7;jealousy;;
6;abhor;;
6;galleys;;
6;senate;;
6;error;;
6;ottomites;;
6;approv;;
6;injury;;
6;absence;;
6;drowning;;
6;hanged;;
6;turks;;
6;governor;;
6;wight;;
6;gnaw;;
6;talking;;
6;desdemon;;
6;harm;;
6;proofs;;
6;chair;;
5;jealous;;
5;street;;
5;profit;;
5;devils;;
5;loved;;
5;distance;;
5;freely;;
5;obedient;;
5;token;;
4;drunk;;
4;purse;;
4;duty;;
4;sail;;
4;reputation;;
4;sailor;;
4;seaport;;
4;despise;;
4;conclusion;;
4;chose;;
4;florentine;;
4;consuls;;
4;prattle;;
4;affin;;
4;cashier;;
4;demonstrate;;
4;populous;;
4;charged;;
4;sign;;
4;sagittary;;
4;charms;;
4;iniquity;;
4;ribs;;
4;restraint;;
4;condition;;
4;appearance;;
