"weight";"word";"color";"url"
326;rom;;
312;romeo;;
186;friar;;
150;nurse;;
132;juliet;;
130;tybalt;;
128;ben;;
124;mer;;
117;jul;;
90;capulet;;
66;montague;;
52;mercutio;;
46;par;;
44;laurence;;
40;samp;;
40;county;;
36;verona;;
36;paris;;
34;benvolio;;
34;tyb;;
34;banished;;
30;mantua;;
30;greg;;
28;thursday;;
28;mus;;
20;peter;;
20;mon;;
20;rosaline;;
20;flower;;
20;silver;;
20;pet;;
18;bal;;
17;prince;;
17;early;;
17;cell;;
14;kinsman;;
14;balthasar;;
14;churchyard;;
13;exeunt;;
12;capulets;;
12;exile;;
10;john;;
10;gregory;;
10;maskers;;
10;montagues;;
10;abr;;
10;den;;
10;hare;;
10;joyful;;
10;church;;
10;iron;;
9;vault;;
8;serv;;
8;sampson;;
8;lovers;;
8;bite;;
8;veins;;
8;fray;;
8;coz;;
8;tut;;
8;forsworn;;
8;lamb;;
8;torch;;
8;lent;;
8;ghostly;;
8;woes;;
8;hie;;
8;banishment;;
8;dagger;;
8;apoth;;
8;laur;;
7;married;;
7;cousin;;
7;houses;;
7;orchard;;
7;corse;;
7;monument;;
7;woful;;
6;boy;;
6;franciscan;;
6;citizens;;
6;alike;;
6;maids;;
6;servingmen;;
6;thumb;;
6;partisans;;
6;disturb;;
6;beseeming;;
6;envious;;
6;street;;
6;fourteen;;
6;feast;;
6;susan;;
6;jule;;
6;jest;;
6;burthen;;
6;visor;;
6;mab;;
6;inconstant;;
6;clos;;
