"weight";"word";"color";"url"
480;hamlet;#a53019;
226;lord;#4166e3;
207;king;#beec0e;
161;horatio;#77242c;
123;queen;#dc30e8;
119;polonius;#ec1e93;
111;laertes;#68b95e;
108;good;#181415;
89;ophelia;#290018;
87;thy;#e23e21;
77;sir;#f73349;
75;rosencrantz;#101d6f;
73;enter;#be04d1;
73;tis;#f97a77;
71;father;#abf435;
69;love;#0e1c83;
65;hath;#a54f39;
64;speak;#a5605b;
60;man;#f4f4e5;
59;thee;#b81b4e;
58;guildenstern;#62d4d5;
46;heaven;#f19d92;
46;time;#76b245;
45;mother;#bda3af;
44;marcellus;#c6a0db;
40;play;#850428;
38;exits;#ab2d4e;
37;gravedigger;#7a5834;
37;night;#f6c2a8;
37;exit;#ddb31c;
36;osric;#26f24d;
36;death;#2f82f9;
35;god;#1e9430;
35;soul;#be78a4;
34;life;#b15331;
33;ghost;#7a327f;
33;hear;#b9737c;
32;hold;#5d7e45;
31;dead;#805b14;
30;heart;#37d127;
29;barnardo;#d85da2;
29;pray;#0a6d11;
29;dear;#25cd50;
29;nature;#5dc806;
29;leave;#bb521f;
27;doth;#6ed7f5;
27;matter;#7ad874;
26;great;#4f48cc;
25;denmark;#3daf73;
25;player;#dae12b;
25;sweet;#55f09d;
24;true;#6d1522;
24;head;#28a082;
24;earth;#24a157;
23;son;#b14876;
23;players;#1f2890;
23;scene;#086ba3;
23;eyes;#72e9b6;
22;fortinbras;#77453e;
22;england;#d13ce5;
22;fear;#cb561d;
22;set;#6d427a;
22;madness;#c5aac3;
22;mad;#327d65;
21;fair;#e032d3;
21;day;#4cbc01;
21;follow;#70519b;
20;friends;#badf6f;
20;poor;#26af35;
19;reynaldo;#e6901e;
19;hand;#d42db8;
19;blood;#82a3d7;
19;sword;#2a1b69;
19;gentleman;#2e078f;
18;body;#9b53bd;
17;brother;#9c3ded;
17;long;#9a8d87;
17;farewell;#652d16;
17;art;#3d0855;
17;young;#b0bbf7;
17;thoughts;#c24a46;
17;noble;#09f1a8;
17;ear;#5872db;
16;gertrude;#473e50;
16;stand;#7f5ac5;
16;watch;#e8e527;
16;majesty;#3bab0a;
16;hast;#25cc80;
16;faith;#8fe371;
16;drink;#8c151f;
16;youth;#495e0a;
16;marry;#60b685;
16;speech;#7fccb4;
16;fortune;#588f01;
15;murder;#9b93f3;
15;mark;#8afdcf;
15;question;#49354e;
15;eye;#3d3cdf;
15;bear;#f331c5;
15;tongue;#c171f1;
