"weight";"word";"color";"url"
960.0;hamlet;#0830a6;
322.0;horatio;#b1c45b;
238.0;polonius;#e4e2ed;
222.0;laertes;#fb9cab;
178.0;ophelia;#95f926;
150.0;rosencrantz;#e3caad;
116.0;guildenstern;#e94b1b;
88.0;marcellus;#d95da1;
76.0;exits;#4ddb59;
74.0;gravedigger;#4cffb1;
72.0;osric;#c5c91c;
58.0;barnardo;#30cf0a;
51.04961241129777;queen;#dda763;
50.0;denmark;#ff3037;
44.0;fortinbras;#159300;
38.0;reynaldo;#76f998;
32.0;gertrude;#d26260;
26.0;norway;#6f80fc;
25.0;player;#7d00d2;
24.0;francisco;#99768d;
23.0;players;#c8f314;
22.0;england;#29affb;
22.0;tonight;#9f8e7a;
20.0;pyrrhus;#8b2cdc;
18.0;voltemand;#57d148;
16.0;majesty;#6d2658;
16.0;arras;#4c8b9e;
16.0;skull;#dd6ea1;
14.0;danish;#719fd1;
14.0;cornelius;#d8287d;
14.0;killed;#6c0e15;
13.696237476201842;ghost;#0526f2;
12.0;claudius;#882569;
12.0;ambassadors;#a83f96;
12.0;sealed;#2dd2fb;
12.0;dumb;#afd817;
12.0;fat;#925d63;
12.0;foils;#b506a6;
11.0;honor;#93711a;
10.0;gonzago;#880668;
10.0;impart;#d8fa1b;
10.0;honored;#49beae;
10.0;audience;#4f8ba8;
10.0;offense;#e98fd6;
10.0;priam;#4e0039;
10.0;nunnery;#dcd9e6;
10.0;alexander;#daddd8;
10.0;carriages;#1db6a7;
8.0;lucianus;#b1c25e;
8.0;flourish;#1f40f7;
8.0;sister;#7edf89;
8.0;favor;#fe610c;
8.0;wittenberg;#4a5415;
8.0;months;#897dd9;
8.0;elsinore;#075714;
8.0;thrift;#7dc24a;
8.0;commandment;#91d06e;
8.0;closes;#eb45b4;
8.0;polack;#d3bdef;
8.0;pastoral;#f27de5;
8.0;hecuba;#c98294;
8.0;tomorrow;#8a6f11;
8.0;conscience;#1d7c3a;
8.0;quantity;#b947c0;
8.0;maker;#f79561;
8.0;gallows;#efdd09;
7.0;loved;#27d424;
7.0;drowned;#bd061a;
6.0;sailors;#605f77;
6.0;dane;#e675bf;
6.0;beating;#37da17;
6.0;buried;#8b7fc7;
6.0;armor;#f183d8;
6.0;ambitious;#3467f8;
6.0;shapes;#4ffc7b;
6.0;discourse;#ec643a;
6.0;hercules;#2b0424;
6.0;prithee;#c2f735;
6.0;secrecy;#b6326a;
6.0;sirs;#135492;
6.0;stayed;#3df889;
6.0;fare;#fe26e7;
6.0;grapple;#7daf1f;
6.0;edge;#3f4408;
6.0;tenders;#6d7ab9;
6.0;pious;#3d9b38;
6.0;waves;#8a7fea;
6.0;hat;#3b861b;
6.0;visitation;#6c40d0;
6.0;distemper;#8d518e;
6.0;played;#172bac;
6.0;proved;#73cd48;
6.0;hits;#d3ebca;
6.0;indifferent;#516814;
6.0;rapiers;#24a10e;
6.0;ceremony;#442982;
6.0;actor;#ee34e0;
6.0;historical;#abd5e7;
6.0;jephthah;#261cc9;
6.0;judgments;#733768;
