"weight";"word";"color";"url"
960;hamlet;;
322;horatio;;
238;polonius;;
222;laertes;;
178;ophelia;;
150;rosencrantz;;
116;guildenstern;;
88;marcellus;;
76;exits;;
74;gravedigger;;
72;osric;;
58;barnardo;;
51;queen;;
50;denmark;;
44;fortinbras;;
38;reynaldo;;
32;gertrude;;
26;norway;;
25;player;;
24;francisco;;
23;players;;
22;england;;
22;tonight;;
20;pyrrhus;;
18;voltemand;;
16;majesty;;
16;arras;;
16;skull;;
14;danish;;
14;cornelius;;
14;killed;;
13;ghost;;
12;claudius;;
12;ambassadors;;
12;sealed;;
12;dumb;;
12;fat;;
12;foils;;
11;honor;;
10;gonzago;;
10;impart;;
10;honored;;
10;audience;;
10;offense;;
10;priam;;
10;nunnery;;
10;alexander;;
10;carriages;;
8;lucianus;;
8;flourish;;
8;sister;;
8;favor;;
8;wittenberg;;
8;months;;
8;elsinore;;
8;thrift;;
8;commandment;;
8;closes;;
8;polack;;
8;pastoral;;
8;hecuba;;
8;tomorrow;;
8;conscience;;
8;quantity;;
8;maker;;
8;gallows;;
7;loved;;
7;drowned;;
6;sailors;;
6;dane;;
6;beating;;
6;buried;;
6;armor;;
6;ambitious;;
6;shapes;;
6;discourse;;
6;hercules;;
6;prithee;;
6;secrecy;;
6;sirs;;
6;stayed;;
6;fare;;
6;grapple;;
6;edge;;
6;tenders;;
6;pious;;
6;waves;;
6;hat;;
6;visitation;;
6;distemper;;
6;played;;
6;proved;;
6;hits;;
6;indifferent;;
6;rapiers;;
6;ceremony;;
6;actor;;
6;historical;;
6;jephthah;;
6;judgments;;
