Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
hamlet_chapter1 vs hamlet_chapter1:     1.0 | 1.0 | 1.0
hamlet_chapter1 vs hamlet_chapter2:     0.09375 | 0.12030437074557081 | 0.90625
hamlet_chapter1 vs hamlet_chapter3:     0.12890625 | 0.12375697432624405 | 0.96875
hamlet_chapter1 vs hamlet_chapter4:     0.10546875 | 0.11591220850480109 | 0.9411764705882353
hamlet_chapter1 vs hamlet_chapter5:     0.12890625 | 0.11636714177511534 | 0.9375
hamlet_chapter1 vs kingLear_chapter1:   0.109375 | 0.11064581023935624 | 0.84375
hamlet_chapter1 vs kingLear_chapter2:   0.09375 | 0.09865127919911013 | 0.84375
hamlet_chapter1 vs kingLear_chapter3:   0.06640625 | 0.09677797855114637 | 0.9375
hamlet_chapter1 vs kingLear_chapter4:   0.1171875 | 0.0975350710271275 | 0.84375
hamlet_chapter1 vs kingLear_chapter5:   0.07421875 | 0.08743198128335217 | 0.84375
hamlet_chapter1 vs othello_chapter1:    0.12109375 | 0.10452104859450435 | 0.84375
hamlet_chapter1 vs othello_chapter2:    0.12109375 | 0.10425870691395124 | 0.84375
hamlet_chapter1 vs othello_chapter3:    0.12109375 | 0.10782636105732427 | 0.84375
hamlet_chapter1 vs othello_chapter4:    0.09375 | 0.09766454352441614 | 0.84375
hamlet_chapter1 vs othello_chapter5:    0.09375 | 0.08456454617367118 | 0.84375
hamlet_chapter1 vs romeoJuliet_chapter1:        0.10546875 | 0.0951706093971438 | 0.9375
hamlet_chapter1 vs romeoJuliet_chapter2:        0.09765625 | 0.09321799307958477 | 0.84375
hamlet_chapter1 vs romeoJuliet_chapter3:        0.125 | 0.09861992113835076 | 0.84375
hamlet_chapter1 vs romeoJuliet_chapter4:        0.10546875 | 0.0819295351918449 | 0.9375
hamlet_chapter1 vs romeoJuliet_chapter5:        0.0625 | 0.08118587291957903 | 0.875
hamlet_chapter1 vs romeoJuliet_prologue:        0.0 | 0.005978462681024879 | 0.75
hamlet_chapter1 vs ulysses_chapter1:    0.05078125 | 0.07867860450756406 | 0.8108108108108109
hamlet_chapter1 vs ulysses_chapter2:    0.0546875 | 0.03987235672465167 | 0.8648648648648649
hamlet_chapter1 vs ulysses_chapter3:    0.03515625 | 0.05625953361315215 | 0.8648648648648649
