"weight";"word";"color";"url"
233;lear;;
174;kent;;
158;thy;;
139;thee;;
119;fool;;
118;glou;;
114;sir;;
99;lord;;
98;edg;;
88;man;;
84;good;;
81;enter;;
79;edm;;
76;father;;
73;reg;;
70;king;;
62;gloucester;;
58;alb;;
57;corn;;
56;hath;;
53;edmund;;
53;love;;
53;tis;;
53;gon;;
52;speak;;
48;poor;;
48;heart;;
48;exit;;
41;art;;
41;gent;;
39;eyes;;
38;nature;;
38;night;;
38;osw;;
37;edgar;;
37;life;;
35;time;;
35;sister;;
34;exeunt;;
33;daughter;;
33;madam;;
32;france;;
32;duke;;
32;goneril;;
32;regan;;
31;cordelia;;
31;cor;;
29;son;;
28;fellow;;
28;daughters;;
28;great;;
28;hand;;
28;letter;;
27;scene;;
27;dost;;
27;hear;;
26;thine;;
26;master;;
26;gods;;
26;pray;;
25;brother;;
24;lady;;
24;hast;;
24;place;;
23;cornwall;;
23;tom;;
23;head;;
22;gentleman;;
22;death;;
22;dear;;
21;grace;;
21;hold;;
21;stand;;
20;albany;;
20;villain;;
20;fiend;;
19;long;;
19;noble;;
19;friend;;
19;set;;
19;mad;;
19;bring;;
19;seek;;
19;men;;
18;oswald;;
18;knave;;
18;answer;;
18;draw;;
18;bear;;
18;fortune;;
17;doth;;
17;true;;
17;follow;;
17;fear;;
17;sword;;
17;nuncle;;
16;boy;;
16;house;;
16;storm;;
16;dead;;
