"weight";"word";"color";"url"
466;lear;;
348;kent;;
236;glou;;
196;edg;;
158;edm;;
146;reg;;
124;gloucester;;
116;alb;;
114;corn;;
106;edmund;;
106;gon;;
82;gent;;
76;osw;;
74;edgar;;
64;goneril;;
64;regan;;
62;cordelia;;
62;cor;;
46;cornwall;;
46;tom;;
40;albany;;
36;oswald;;
35;sister;;
34;nuncle;;
32;france;;
30;burgundy;;
30;dover;;
24;knights;;
24;stocks;;
20;electronic;;
20;copies;;
20;distributed;;
16;pow;;
16;doct;;
14;exeunt;;
14;hovel;;
14;traitor;;
13;duke;;
13;prithee;;
12;distribution;;
12;charges;;
12;kingdom;;
12;dukes;;
12;sisters;;
12;cur;;
11;earl;;
11;bastard;;
11;steward;;
10;gods;;
10;copyright;;
10;1990;;
10;1993;;
10;gutenberg;;
10;etext;;
10;carnegie;;
10;mellon;;
10;readable;;
10;commercially;;
10;prohibited;;
10;commercial;;
10;includes;;
10;download;;
10;membership;;
10;bur;;
10;castle;;
10;legitimate;;
10;ride;;
10;acold;;
10;british;;
10;howl;;
10;colours;;
10;capt;;
8;fiend;;
8;highness;;
8;majesty;;
8;fare;;
8;prosper;;
8;maintain;;
8;horns;;
8;rogues;;
8;wolf;;
8;heath;;
8;harder;;
8;charg;;
7;whipp;;
7;train;;
6;boy;;
6;curan;;
6;tenant;;
6;curiosity;;
6;commit;;
6;murther;;
6;duchess;;
6;detested;;
6;eclipses;;
6;bedlam;;
6;harms;;
6;disguised;;
6;mongrel;;
6;tripp;;
